cid	sno	sch_day	start_time	end_time	capacity
LAW106	G3	Monday	8:15:00	11:30:00	45
LAW108	G1	Monday	12:00:00	15:15:00	42
LAW108	G2	Tuesday	8:15:00	11:30:00	42
LAW108	G3	Thursday	12:00:00	15:15:00	42
LAW108	G4	Monday	12:00:00	15:15:00	40
LAW201	G1	Friday	12:00:00	15:15:00	15
LAW202	G1	Thursday	19:00:00	22:15:00	45
LAW202	G2	Friday	8:15:00	11:30:00	45
LAW204	G1	Wednesday	15:30:00	18:45:00	45
LAW204	G2	Thursday	19:00:00	22:15:00	45
LAW301	G1	Monday	15:30:00	18:45:00	45
LAW302	G1	Monday	8:15:00	11:30:00	45
LAW401	G1	Tuesday	12:00:00	15:15:00	42
LAW404	G1	Wednesday	12:00:00	15:15:00	44
LAW410	G1	Friday	8:15:00	11:30:00	45
LAW422	G1	Thursday	15:30:00	18:45:00	42
LAW428	G1	Tuesday	12:00:00	15:15:00	45
LAW447	G1	Friday	8:15:00	11:30:00	42
LAW489	G1	Wednesday	15:30:00	18:45:00	10
LAW489	G2	Friday	15:30:00	18:45:00	10
LAW477	G1	Thursday	19:00:00	22:15:00	45
LGST101	G1	Tuesday	8:15:00	11:30:00	10
LGST101	G2	Wednesday	12:00:00	15:15:00	10
LGST201	G1	Monday	12:00:00	15:15:00	45
LGST201	G2	Monday	15:30:00	18:45:00	45
LGST201	G3	Monday	19:00:00	22:15:00	45
LGST301	G1	Friday	12:00:00	15:15:00	45
LGST301	G2	Thursday	19:00:00	22:15:00	45
MATH101	G1	Tuesday	15:30:00	18:45:00	45
MATH101	G2	Tuesday	19:00:00	22:15:00	45
MATH101	G3	Friday	8:15:00	11:30:00	45
MGMT102	G1	Monday	8:15:00	11:30:00	45
MGMT102	G2	Monday	12:00:00	15:15:00	45
MGMT103	G1	Thursday	15:30:00	18:45:00	45
MGMT103	G2	Thursday	19:00:00	22:15:00	45
MGMT103	G3	Tuesday	15:30:00	18:45:00	40
MGMT205	G1	Wednesday	15:30:00	18:45:00	45
MGMT223	G1	Thursday	19:00:00	22:15:00	45
MGMT318	G1	Monday	12:00:00	15:15:00	45
MGMT319	G1	Tuesday	15:30:00	18:45:00	45
MGMT320	G1	Wednesday	19:00:00	22:15:00	45
MGMT323	G1	Friday	8:15:00	11:30:00	45
MGMT404	G1	Monday	8:15:00	11:30:00	45
MGMT404	G2	Tuesday	12:00:00	15:15:00	45
OBHR101	G1	Thursday	12:00:00	15:15:00	16
OBHR225	G1	Thursday	15:30:00	18:45:00	45
OBHR302	G1	Wednesday	19:00:00	22:15:00	45
OPIM214	G1	Monday	12:00:00	15:15:00	45
OPIM321	G1	Tuesday	15:30:00	18:45:00	45
OPIM325	G1	Wednesday	19:00:00	22:15:00	45
OPIM413	G1	Friday	8:15:00	11:30:00	45
POSC101	G1	Wednesday	15:30:00	18:45:00	45
POSC101	G2	Wednesday	19:00:00	22:15:00	45
POSC103	G1	Monday	15:30:00	18:45:00	45
POSC103	G2	Monday	19:00:00	22:15:00	45
POSC103	G3	Tuesday	15:30:00	18:45:00	45
POSC213	G1	Tuesday	8:15:00	11:30:00	45
PPPM101	G1	Wednesday	12:00:00	15:15:00	45
PPPM101	G2	Thursday	15:30:00	18:45:00	45
PPPM101	G3	Friday	8:15:00	11:30:00	45
PPPM106	G1	Monday	15:30:00	18:45:00	45
PPPM201	G1	Tuesday	19:00:00	22:15:00	45
PSYC102	G1	Friday	8:15:00	11:30:00	45
PSYC102	G2	Friday	12:00:00	15:15:00	45
PSYC103	G1	Wednesday	12:00:00	15:15:00	45
PSYC208	G1	Thursday	19:00:00	22:15:00	45
QF101	G1	Tuesday	8:15:00	11:30:00	40
QF101	G2	Thursday	8:15:00	11:30:00	45
QF101	G3	Friday	12:00:00	15:15:00	45
SMT201	G1	Tuesday	15:30:00	18:45:00	45
SMT201	G2	Wednesday	12:00:00	15:15:00	45
SMT203	G1	Monday	15:30:00	18:45:00	45
SOCG201	G1	Friday	8:15:00	11:30:00	45
SOCG203	G1	Monday	12:00:00	15:15:00	45
SOCG220	G1	Wednesday	19:00:00	22:15:00	45
SOCG221	G1	Thursday	8:15:00	11:30:00	45
SOCG224	G1	Tuesday	15:30:00	18:45:00	45
SOCG225	G1	Friday	12:00:00	15:15:00	45
STAT101	G1	Monday	8:15:00	11:30:00	12
STAT101	G2	Thursday	12:00:00	15:15:00	15
STAT201	G1	Tuesday	12:00:00	15:15:00	45
STAT203	G1	Wednesday	15:30:00	18:45:00	45
DSA211	G1	Monday	8:15:00	11:30:00	12
DSA211	G2	Thursday	12:00:00	15:15:00	10
COR1305	G1	Tuesday	8:15:00	11:30:00	12
COR1305	G2	Friday	12:00:00	15:15:00	12
