"channel_name","total_conversions","total_conversion_value"
"1",82.8059701492537,82.8059701492537
"20",439.582089552239,439.582089552239
"12",81.2537313432836,81.2537313432836
"14",64.2388059701493,64.2388059701493
"13",197.791044776119,197.791044776119
"3",122.328358208955,122.328358208955
"17",86.9850746268657,86.9850746268657
"6",58.9850746268657,58.9850746268657
"8",60.6567164179104,60.6567164179104
"10",209.850746268657,209.850746268657
"11",115.402985074627,115.402985074627
"16",159.820895522388,159.820895522388
"2",97.0746268656716,97.0746268656716
"4",222.149253731343,222.149253731343
"7",40.5970149253731,40.5970149253731
"5",80.5373134328358,80.5373134328358
"9",178.865671641791,178.865671641791
"15",72.3582089552239,72.3582089552239
"18",6.56716417910448,6.56716417910448
"19",14.1492537313433,14.1492537313433
