Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
46,3.0,0.1682,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['get', 'visible', 'bars', 'histogram', 'distribution', 'plot']"
47,3.0,0.1652,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['loop', 'adding', 'key', 'value', 'dictionary', 'using', 'loop', 'splitlines']"
48,5.0,0.1915,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['groupby', 'join', 'multiple', 'rows', 'based', 'datetime', 'another', 'column']"
49,6.0,0.1603,"error, date, code, sql, set, selenium, html, format, import, flask","['nltk', 'data', 'download', 'hangs', 'macos', 'anaconda', 'environment']"
50,3.0,0.1557,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['keras', 'multi', 'output', 'model', 'always', 'produce', 'conflict', 'free', 'results']"
51,7.0,0.1528,"function, multiple, array, numpy, create, object, class, return, query, attribute","['find', 'matches', 'two', 'arrays', 'first', 'array']"
52,1.0,0.1343,"data, convert, model, django, table, tensorflow, keras, type, method, input","['two', 'monitors', 'connection', 'raspberry', 'pi']"
53,2.0,0.1439,"python, file, csv, files, google, run, script, api, read, save","['validating', 'user', 'details', 'using', 'sqlite', 'python']"
54,5.0,0.1499,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['apply', 'qcut', 'columns', 'dataframe', 'user', 'defined', 'percentile', 'values']"
55,2.0,0.1751,"python, file, csv, files, google, run, script, api, read, save","['set', 'new', 'user', 'linux', 'server', 'work', 'python']"
56,1.0,0.146,"data, convert, model, django, table, tensorflow, keras, type, method, input","['wiener', 'filter', 'implemented', 'scipy', 'derived']"
57,4.0,0.1713,"list, python, dictionary, find, text, add, remove, number, elements, json","['find', 'duplicated', 'groups', 'dataframe']"
58,7.0,0.1623,"function, multiple, array, numpy, create, object, class, return, query, attribute","['passing', 'numpy', 'array', 'function', 'giving', 'type', 'error']"
59,1.0,0.1507,"data, convert, model, django, table, tensorflow, keras, type, method, input","['calculating', 'absolute', 'average', 'dataframe']"
60,7.0,0.1473,"function, multiple, array, numpy, create, object, class, return, query, attribute","['sql', 'query', 'return', 'frequent', 'itemsets', 'like', 'python', 'example']"
61,4.0,0.1798,"list, python, dictionary, find, text, add, remove, number, elements, json","['conditionally', 'extract', 'keys', 'values', 'nested', 'dict', 'comprehension']"
62,6.0,0.1422,"error, date, code, sql, set, selenium, html, format, import, flask","['finding', 'last', 'months', 'payments', 'using', 'partitioning', 'scheme', 'microsoft', 'sql', 'server']"
63,3.0,0.15,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['get', 'text', 'label', 'daterangepicker', 'plotly', 'dash']"
64,3.0,0.1713,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['altair', 'stream', 'graph', 'labels']"
65,0.0,0.1343,"python, string, image, make, output, strings, replace, specific, print, split","['sql', 'join', 'table', 'self', 'given', 'partition']"
66,3.0,0.1954,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['change', 'axis', 'tick', 'label', 'spacing', 'python', 'graph']"
67,2.0,0.1359,"python, file, csv, files, google, run, script, api, read, save","['create', 'custom', 'methods', 'seperate', 'file']"
68,6.0,0.1473,"error, date, code, sql, set, selenium, html, format, import, flask","['useeffect', 'running', 'provider']"
69,4.0,0.1467,"list, python, dictionary, find, text, add, remove, number, elements, json","['given', 'list', 'days', 'months', 'hours', 'python', 'find', 'minimum']"
70,2.0,0.1394,"python, file, csv, files, google, run, script, api, read, save","['different', 'behaviour', 'sudo', 'without']"
71,0.0,0.1368,"python, string, image, make, output, strings, replace, specific, print, split","['removing', 'stopwords', 'dictionary']"
72,6.0,0.1623,"error, date, code, sql, set, selenium, html, format, import, flask","['typeerror', 'object', 'type', 'function', 'len', 'fix', 'error']"
73,0.0,0.1467,"python, string, image, make, output, strings, replace, specific, print, split","['generate', 'substrings', 'lexicographic', 'order', 'given', 'string', 'alphabetical', 'order']"
74,1.0,0.1623,"data, convert, model, django, table, tensorflow, keras, type, method, input","['handle', 'multiple', 'urls', 'beautifultsoup', 'convert', 'data', 'dataframe']"
75,6.0,0.192,"error, date, code, sql, set, selenium, html, format, import, flask","['spark', 'shuffle', 'memory', 'error', 'failed', 'allocate', 'direct', 'memory']"
76,7.0,0.1652,"function, multiple, array, numpy, create, object, class, return, query, attribute","['create', 'custom', 'window', 'python', 'display', 'iframe']"
77,0.0,0.1318,"python, string, image, make, output, strings, replace, specific, print, split","['label', 'changes', 'position', 'moving', 'window', 'pyqt']"
78,0.0,0.1318,"python, string, image, make, output, strings, replace, specific, print, split","['convert', 'api', 'json', 'output', 'dataframe']"
79,7.0,0.1528,"function, multiple, array, numpy, create, object, class, return, query, attribute","['faster', 'way', 'repeat', 'array', 'along', 'dimension']"
80,4.0,0.1671,"list, python, dictionary, find, text, add, remove, number, elements, json","['find', 'frequency', 'word', 'text', 'file', 'using', 'python', 'user', 'give', 'input', 'word']"
81,7.0,0.1557,"function, multiple, array, numpy, create, object, class, return, query, attribute","['logic', 'constructor', 'python']"
82,0.0,0.1453,"python, string, image, make, output, strings, replace, specific, print, split","['trying', 'understand', 'object', 'oriented', 'programming', 'use', 'object', 'composing']"
83,1.0,0.1425,"data, convert, model, django, table, tensorflow, keras, type, method, input","['python', 'round', 'next', 'highest', 'power']"
84,0.0,0.1592,"python, string, image, make, output, strings, replace, specific, print, split","['possible', 'make', 'sub', 'test', 'expected', 'failure', 'python', 'unittest']"
85,7.0,0.15,"function, multiple, array, numpy, create, object, class, return, query, attribute","['check', 'type', 'values', 'within', 'numpy', 'array']"
86,0.0,0.1545,"python, string, image, make, output, strings, replace, specific, print, split","['atom', 'error', 'running', 'hydrogen', 'python', 'exe', 'found']"
87,4.0,0.1528,"list, python, dictionary, find, text, add, remove, number, elements, json","['python', 'finding', 'many', 'elements', 'dataframe']"
88,0.0,0.193,"python, string, image, make, output, strings, replace, specific, print, split","['python', 'removing', 'special', 'character', 'string', 'working']"
89,7.0,0.1445,"function, multiple, array, numpy, create, object, class, return, query, attribute","['take', 'action', 'negative', 'exit', 'ansible']"
90,4.0,0.1528,"list, python, dictionary, find, text, add, remove, number, elements, json","['tagging', 'connected', 'components', 'using', 'networkx']"
91,5.0,0.1603,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['randomly', 'joining', 'multiple', 'rows', 'meet', 'join', 'criteria']"
92,6.0,0.1652,"error, date, code, sql, set, selenium, html, format, import, flask","['inserting', 'variables', 'sql', 'query', 'python', 'using', 'requests']"
93,2.0,0.1445,"python, file, csv, files, google, run, script, api, read, save","['python', 'calling', 'module', 'directory']"
94,5.0,0.183,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['getting', 'unique', 'count', 'within', 'range', 'months', 'pandas', 'dataframe']"
95,0.0,0.1343,"python, string, image, make, output, strings, replace, specific, print, split","['searching', 'entry', 'xml', 'beautifulsoup']"
96,0.0,0.1318,"python, string, image, make, output, strings, replace, specific, print, split","['capture', 'sqlcmd', 'msg', 'string', 'using', 'subprocess']"
97,6.0,0.1394,"error, date, code, sql, set, selenium, html, format, import, flask","['retrieve', 'fcm', 'topic', 'list', 'audiences', 'programatically']"
98,0.0,0.148,"python, string, image, make, output, strings, replace, specific, print, split","['possible', 'define', 'pytest', 'test', 'suites', 'different', 'addopts']"
99,2.0,0.183,"python, file, csv, files, google, run, script, api, read, save","['android', 'mediacodec', 'decoder', 'buffer', 'packets', 'decoding']"
